1st,2nd,3rd,4th,5th,College Code,Gender,Roll no.,Subject Code,CGPA,Improvement,Academic_Status
8.11,7.68,7.11,7.43,8.18,115,F,17020,16,7.7,0.07,Consistent / Average
6.48,5.9,4.15,4.29,4.96,115,M,17021,16,5.16,-1.52,Critical Drop
8.41,8.24,7.52,8.25,7.75,115,F,17022,16,8.03,-0.66,High Achiever
7.33,6.83,6.33,6.79,6.89,115,M,17023,16,6.83,-0.44,Consistent / Average
7.89,7.34,7.22,7.32,7.46,115,M,17024,16,7.45,-0.43,Consistent / Average
7.33,6.72,6.48,6.5,7.39,115,M,17025,16,6.88,0.06,Consistent / Average
7.15,6.72,6.89,6.86,7.64,115,M,17026,16,7.05,0.49,Consistent / Average
6.74,6.38,4.93,5.64,6.75,115,M,17027,16,6.09,0.01,Consistent / Average
7.89,7.45,6.96,7.71,8.0,115,F,17028,16,7.6,0.11,Consistent / Average
7.3,6.34,6.3,6.61,6.18,115,M,17029,16,6.55,-1.12,Critical Drop
8.0,7.9,7.52,7.64,8.11,115,M,17030,16,7.83,0.11,Consistent / Average
6.78,4.28,5.81,6.04,6.39,115,M,17031,16,5.86,-0.39,Academic Probation
5.67,5.62,5.48,5.93,6.75,115,M,17032,16,5.89,1.08,Academic Probation
6.33,6.41,6.41,6.93,7.0,115,M,17033,16,6.62,0.67,Consistent / Average
6.44,6.21,6.19,6.68,6.86,115,M,17034,16,6.48,0.42,Consistent / Average
6.3,6.17,5.59,5.89,6.36,115,M,17035,16,6.06,0.06,Consistent / Average
6.96,6.14,6.93,7.18,7.29,115,M,17036,16,6.9,0.33,Consistent / Average
6.7,6.45,5.78,6.0,6.61,115,M,17037,16,6.31,-0.09,Consistent / Average
7.41,6.93,7.33,7.71,8.46,115,M,17038,16,7.57,1.05,Consistent / Average
7.04,6.31,6.44,7.21,7.32,115,M,17039,16,6.86,0.28,Consistent / Average
6.63,5.62,6.11,5.79,6.25,115,M,17040,16,6.08,-0.38,Consistent / Average
8.33,8.72,7.81,8.04,8.93,115,F,17041,16,8.37,0.6,High Achiever
7.96,7.93,7.78,8.21,8.21,115,M,17042,16,8.02,0.25,High Achiever
6.89,5.55,5.93,6.79,7.54,115,M,17043,16,6.54,0.65,Consistent / Average
8.19,8.17,7.15,7.75,7.64,115,M,17044,16,7.78,-0.55,Consistent / Average
7.89,6.69,7.15,8.43,8.36,115,F,17045,16,7.7,0.47,Consistent / Average
7.33,6.55,5.96,6.75,6.89,115,M,17046,16,6.7,-0.44,Consistent / Average
8.22,8.17,8.37,9.04,9.0,115,M,17047,16,8.56,0.78,High Achiever
7.44,7.59,7.26,7.89,7.86,115,M,17048,16,7.61,0.42,Consistent / Average
5.74,6.45,6.48,7.29,7.61,115,M,17049,16,6.71,1.87,Consistent / Average
6.81,6.79,6.3,7.14,7.86,115,F,17050,16,6.98,1.05,Consistent / Average
8.89,8.31,7.3,9.25,8.5,115,F,17051,16,8.45,-0.39,High Achiever
8.04,7.59,7.22,8.32,8.82,115,M,17052,16,8.0,0.78,High Achiever
8.3,8.38,7.63,7.93,8.75,115,M,17053,16,8.2,0.45,High Achiever
8.04,6.69,6.37,6.64,6.64,115,M,17054,16,6.88,-1.4,Critical Drop
7.44,7.97,7.78,8.64,8.71,115,M,17055,16,8.11,1.27,High Achiever
7.85,6.9,7.04,7.82,8.39,115,F,17056,16,7.6,0.54,Consistent / Average
8.07,7.34,7.59,7.89,8.14,115,M,17057,16,7.81,0.07,Consistent / Average
7.59,7.38,7.3,8.64,8.21,115,M,17058,16,7.82,0.62,Consistent / Average
8.19,7.66,7.48,8.68,8.89,115,M,17059,16,8.18,0.7,High Achiever
5.81,5.83,4.15,4.93,4.86,115,M,17060,16,5.12,-0.95,Academic Probation
6.3,6.24,5.85,6.36,7.0,115,M,17061,16,6.35,0.7,Consistent / Average
7.78,6.93,7.44,7.86,8.21,115,M,17062,16,7.64,0.43,Consistent / Average
8.22,6.66,7.07,7.29,7.61,115,M,17063,16,7.37,-0.61,Consistent / Average
7.67,7.07,7.04,7.07,6.93,115,M,17064,16,7.16,-0.74,Consistent / Average
8.41,7.59,7.41,7.89,8.11,115,M,17065,16,7.88,-0.3,Consistent / Average
7.59,7.83,6.89,7.32,8.5,165,M,17021,16,7.63,0.91,Consistent / Average
5.3,5.62,4.56,4.36,6.18,165,F,17022,16,5.2,0.88,Academic Probation
7.26,7.62,7.26,7.29,7.61,165,M,17023,16,7.41,0.35,Consistent / Average
7.93,7.83,7.81,8.32,8.68,165,M,17024,16,8.11,0.75,High Achiever
8.11,8.55,7.3,8.11,9.14,165,M,17025,16,8.24,1.03,High Achiever
7.26,7.9,7.26,7.71,8.39,165,M,17026,16,7.7,1.13,Consistent / Average
6.59,7.72,6.26,7.61,7.29,165,M,17027,16,7.09,0.7,Consistent / Average
7.89,7.97,7.33,7.46,8.5,165,M,17028,16,7.83,0.61,Consistent / Average
7.67,8.0,7.7,8.07,8.68,165,F,17029,16,8.02,1.01,High Achiever
7.85,8.41,7.67,8.71,9.39,165,M,17030,16,8.41,1.54,High Achiever
7.04,6.38,6.78,7.54,7.39,165,M,17031,16,7.03,0.35,Consistent / Average
7.26,7.21,6.93,6.86,8.04,165,M,17032,16,7.26,0.78,Consistent / Average
4.81,,5.89,6.07,4.54,165,M,17033,16,5.33,-0.27,Missing Exams / Incomplete
8.19,8.48,8.0,8.46,8.89,165,M,17034,16,8.4,0.7,High Achiever
6.52,6.76,6.52,7.21,7.57,165,M,17035,16,6.92,1.05,Consistent / Average
7.15,7.24,6.7,7.86,8.29,165,F,17036,16,7.45,1.14,Consistent / Average
,,,,,165,,17037,16,,,Missing Exams / Incomplete
3.85,3.9,4.96,,4.0,165,M,17038,16,4.18,0.15,Missing Exams / Incomplete
6.63,5.48,6.22,6.57,7.0,165,M,17039,16,6.38,0.37,Consistent / Average
7.07,6.79,6.96,6.89,8.64,165,M,17040,16,7.27,1.57,Consistent / Average
7.33,7.76,7.04,7.18,8.11,165,M,17041,16,7.48,0.78,Consistent / Average
7.59,7.28,6.7,7.68,8.18,165,F,17042,16,7.49,0.59,Consistent / Average
7.0,7.07,7.04,7.43,8.36,165,F,17043,16,7.38,1.36,Consistent / Average
7.33,7.55,7.63,6.14,8.39,165,M,17044,16,7.41,1.06,Consistent / Average
6.89,8.1,7.26,7.68,8.57,165,M,17045,16,7.7,1.68,Consistent / Average
6.56,6.52,6.33,7.0,7.29,165,M,17046,16,6.74,0.73,Consistent / Average
6.74,6.79,7.15,7.14,7.68,165,M,17047,16,7.1,0.94,Consistent / Average
4.19,,,,,165,M,17048,16,4.19,,Missing Exams / Incomplete
6.22,7.0,6.0,6.39,6.43,165,M,17049,16,6.41,0.21,Consistent / Average
7.33,8.03,7.93,8.11,8.04,165,M,17050,16,7.89,0.71,Consistent / Average
7.63,6.59,6.52,4.93,6.43,165,M,17051,16,6.42,-1.2,Critical Drop
6.22,6.38,6.41,5.93,6.18,165,M,17052,16,6.22,-0.04,Consistent / Average
7.11,7.07,6.07,5.86,6.86,165,M,17053,16,6.59,-0.25,Consistent / Average
5.11,5.62,5.48,5.89,5.79,165,F,17054,16,5.58,0.68,Academic Probation
6.26,6.55,6.63,6.71,7.54,165,M,17055,16,6.74,1.28,Consistent / Average
6.04,5.86,5.15,5.54,6.04,165,M,17056,16,5.73,0.0,Academic Probation
6.78,6.79,6.96,7.79,8.36,165,M,17057,16,7.34,1.58,Consistent / Average
5.11,6.03,6.33,6.5,6.75,165,M,17058,16,6.14,1.64,Consistent / Average
6.22,6.38,6.33,6.29,7.96,165,M,17059,16,6.64,1.74,Consistent / Average
7.0,6.17,6.33,6.5,6.25,165,F,17060,16,6.45,-0.75,Consistent / Average
6.3,6.21,6.52,5.93,7.5,165,M,17061,16,6.49,1.2,Consistent / Average
6.74,6.62,6.48,6.86,8.25,165,M,17062,16,6.99,1.51,Consistent / Average
6.67,6.48,5.89,6.36,5.61,165,M,17063,16,6.2,-1.06,Critical Drop
7.37,7.93,7.07,7.64,8.61,165,M,17064,16,7.72,1.24,Consistent / Average
